,Kp,Ka,Lookahead,Rotation,Total,P1,P2,P3,P4,P5,P6
Test 3 1.0 0.6,3.0,6.0,1.0,0.6,408.996807887,42.495150032,49.122601198,76.552244142,73.270762517,91.14983055,76.406219448
Test 2 1.25 1.1,2.0,4.0,1.25,1.1,411.300468657,39.583316146,51.842524139,70.945924282,71.357838506,89.869961284,87.7009043
Test 2 0.75 0.1,2.0,4.0,0.75,0.1,411.579683001,40.083532213,48.325040114,70.631843753,73.161699637,87.164472192,92.213095092
Test 4 1.0 0.1,4.0,8.0,1.0,0.1,415.158394761,41.391415109,50.634395776,75.862430967,72.06372172,95.085368175,80.121063014
Test 2 1.25 0.1,2.0,4.0,1.25,0.1,416.627899139,41.293167884,49.830031408,74.147139765,72.473154462,92.185009978,86.699395642
Test 2 1.0 0.6,2.0,4.0,1.0,0.6,417.194848,40.68584062,51.240093646,71.435938741,68.431488344,93.482135356,91.919351293
Test 3 0.75 1.1,3.0,6.0,0.75,1.1,417.734061797,41.089805085,50.342700866,74.957706437,69.832358184,93.293387533,88.218103692
Test 5 0.75 0.6,5.0,10.0,0.75,0.6,418.234970306,39.075077852,53.048228682,72.841562061,72.578364084,90.814525319,89.877212308
Test 3 0.75 0.6,3.0,6.0,0.75,0.6,418.245933533,39.077378622,50.830569332,77.358226105,75.467357954,88.349292556,87.163108964
Test 2 0.75 1.1,2.0,4.0,0.75,1.1,418.894247727,42.898203951,49.130418498,76.158842767,71.258764312,89.764822938,89.683195261
Test 3 1.0 1.1,3.0,6.0,1.0,1.1,420.10881801,40.684459855,53.245964877,66.419592628,69.338144793,91.854984308,98.565671549
Test 1 0.75 0.1,1.0,2.0,0.75,0.1,421.223128251,39.484789351,51.03530644,77.667632326,71.665470075,90.26461368,91.105316379
Test 1 1.25 1.1,1.0,2.0,1.25,1.1,421.384521208,52.240166999,49.428840031,71.432258658,72.237167888,90.289757849,85.756329783
Test 3 1.25 1.1,3.0,6.0,1.25,1.1,421.50160837,40.68104996,52.038770983,74.746591907,71.560660264,90.658370808,91.816164448
Test 2 1.0 1.1,2.0,4.0,1.0,1.1,421.777304589,44.101132464,53.245285196,71.941698611,72.244205974,91.972351241,88.272631103
Test 5 0.75 0.1,5.0,10.0,0.75,0.1,421.830241752,40.3873263,50.94079978,77.259325078,71.457527095,91.169652849,90.61561065
Test 1 0.75 1.1,1.0,2.0,0.75,1.1,423.892308213,39.5745839,51.936452908,74.154301563,72.470710335,91.442250179,94.314009328
Test 4 1.0 1.1,4.0,8.0,1.0,1.1,424.397243866,41.289419259,49.325937552,75.459968478,71.839678513,93.649879793,92.832360271
Test 2 1.0 0.1,2.0,4.0,1.0,0.1,425.956357944,41.79276987,49.329230201,75.857521189,70.344211938,93.065114943,95.567509803
Test 3 1.25 0.6,3.0,6.0,1.25,0.6,427.666217625,40.782896535,54.148647118,71.741519785,78.500303673,89.260451745,93.232398769
Test 3 1.25 0.1,3.0,6.0,1.25,0.1,428.586716148,44.001449619,51.940307157,72.840916442,82.48978345,88.148432213,89.165827267
Test 5 1.0 0.1,5.0,10.0,1.0,0.1,429.082744864,43.31978794,56.590431171,75.168948732,75.69790337,90.687588159,87.618085492
Test 4 1.25 0.1,4.0,8.0,1.25,0.1,431.17528981,39.282887549,52.139225263,73.948036484,70.23608063,92.691879755,102.877180129
Test 1 1.0 0.6,1.0,2.0,1.0,0.6,433.546026093,40.685772775,53.850934668,76.755672345,70.742016034,87.854349969,103.657280302
Test 4 0.75 0.1,4.0,8.0,0.75,0.1,433.584884846,37.97299183,50.42982878,75.759026495,73.258014187,91.992540563,104.172482991
Test 1 0.75 0.6,1.0,2.0,0.75,0.6,434.172288184,56.052199023,52.24542731,78.669200544,69.965644205,88.854686773,88.385130329
Test 3 0.75 0.1,3.0,6.0,0.75,0.1,434.988244968,39.881806647,54.653069184,75.85723519,69.953760574,90.085346811,104.557026562
Test 1 1.0 1.1,1.0,2.0,1.0,1.1,436.014731701,44.105756622,61.388754762,80.184773262,79.694744778,87.462907355,83.177794922
Test 1 1.0 0.1,1.0,2.0,1.0,0.1,436.790290293,54.753492232,51.735727925,76.671053683,70.944491544,88.264474532,94.421050377
Test 5 0.75 1.1,5.0,10.0,0.75,1.1,436.926479374,44.009904674,52.560512574,79.391521805,71.497338897,96.695985524,92.7712159
Test 4 0.75 0.6,4.0,8.0,0.75,0.6,437.449561148,38.979959436,50.828690786,80.469918066,72.155985113,92.654996477,102.36001127
Test 4 1.25 0.6,4.0,8.0,1.25,0.6,438.523924624,42.808967012,53.270668821,76.069004616,74.609341206,96.440462943,95.325480026
Test 1 1.25 0.1,1.0,2.0,1.25,0.1,439.484496016,44.309214292,51.942728639,78.675909652,72.270769571,98.301684877,93.984188985
Test 3 1.0 0.1,3.0,6.0,1.0,0.1,445.873987373,42.494967118,49.125741746,77.260402956,80.486344229,101.737897969,94.768633355
Test 4 1.0 0.6,4.0,8.0,1.0,0.6,447.031350067,49.627846386,60.079105264,79.184343471,69.839452063,90.077176565,98.223426318
Test 2 1.25 0.6,2.0,4.0,1.25,0.6,447.289138265,38.974572207,53.642347411,75.55551068,73.659762355,106.043322461,99.413623151
Test 1 1.25 0.6,1.0,2.0,1.25,0.6,449.928470135,44.41033419,52.738030022,76.754419799,84.726054207,89.155948994,102.143682923
Test 5 1.0 0.6,5.0,10.0,1.0,0.6,455.441591629,56.670137563,53.257749452,76.882167511,74.468073356,98.057599424,96.105864323
Test 4 1.25 1.1,4.0,8.0,1.25,1.1,484.824154335,63.022916882,59.106034428,86.340743048,78.531498419,92.413833849,105.409127709
